7, 3976,  276;
$9,  258,  601, HL’bš’’‚ŠÚj
$7, 1196,  833, 1196,  833;
$8, 2923, 3976, 3976,  276;
$9,  258,  599,  102,32201;
$1,  834, 1196, 2319,  497;
$2, 2056, 2008, 1970,  158;
$3,17185,50024,17185,50024;
$4,22399,60543,59136,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1202,  831, 1202,  831;
$8, 2927, 3976, 3976,  275;
$9,  258,  595,  102,32201;
$1,  834, 1195, 2223,  528;
$2, 2059, 2008, 1974,  160;
$3,17185,50024,17185,50024;
$4,22143,60287,58880,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1202,  834, 1202,  834;
$8, 2932, 3976, 3977,  276;
$9,  248,  602,  102,32201;
$1,  834, 1194, 2231,  530;
$2, 2061, 2008, 1971,  159;
$3,17185,50024,17185,50024;
$4,23423,60287,59136,  159;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1196,  830, 1196,  830;
$8, 2923, 3976, 3976,  276;
$9,  258,  602,  102,32201;
$1,  834, 1194, 2256,  527;
$2, 2057, 2002, 1970,  157;
$3,17185,50024,17185,50024;
$4,22399,60287,59648,  157;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1201,  833, 1201,  833;
$8, 2919, 3976, 3976,  276;
$9,  258,  596,  102,32201;
$1,  835, 1195, 2409,  391;
$2, 2056, 2009, 1970,  160;
$3,17185,50024,17185,50024;
$4,23423,60031,59136,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1204,  832, 1204,  832;
$8, 2923, 3977, 3976,  276;
$9,  258,  600,  102,32201;
$1,  834, 1195, 2242,  526;
$2, 2061, 2008, 1976,  158;
$3,17185,50024,17185,50024;
$4,23935,60799,59136,  158;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1203,  835, 1203,  835;
$8, 2919, 3977, 3976,  276;
$9,  257,  594,  102,32201;
$1,  835, 1196, 2236,  531;
$2, 2056, 2008, 1970,  160;
$3,17185,50024,17185,50024;
$4,22399,60543,58880,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1197,  835, 1197,  835;
$8, 2919, 3976, 3976,  276;
$9,  256,  588,  102,32201;
$1,  835, 1195, 2259,  526;
$2, 2057, 2009, 1968,  160;
$3,17185,50024,17185,50024;
$4,22399,60287,59648,  160;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1196,  835, 1196,  835;
$8, 2919, 3977, 3976,  276;
$9,  254,  602,  102,32201;
$1,  834, 1195, 2285,  443;
$2, 2063, 2008, 1980,  159;
$3,17185,50024,17185,50024;
$4,23935,59519,58880,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1200,  832, 1200,  832;
$8, 2923, 3976, 3976,  276;
$9,  253,  587,  102,32201;
$1,  835, 1195, 2221,  532;
$2, 2059, 2008, 1972,  158;
$3,17185,50024,17185,50024;
$4,24959,59775,59648,  158;
$5,65535,    1,53188,    0;
$6, 2234, 2069, 2234, 2069;
$7, 1204,  836, 1204,  836;
$8, 2926, 3977, 3976,  276;
$9,  256,  600,  102,32201;
$1,  836, 1194, 2238,  531;
$2, 2057, 2008, 1962,  160;
$3,17185,50024,17185,50024;
$4,22399,59263,61184,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1196,  834, 1196,  834;
$8, 2926, 3976, 3976,  276;
$9,  253,  597,  102,32201;
$1,  835, 1194, 2295,  502;
$2, 2061, 2004, 1972,  160;
$3,17185,50024,17185,50024;
$4,22143,59775,59648,  160;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1203,  833, 1203,  833;
$8, 2923, 3977, 3977,  276;
$9,  256,  599,  102,32201;
$1,  834, 1196, 2229,  534;
$2, 2056, 2010, 1966,  160;
$3,17185,50024,17185,50024;
$4,22399,60287,58112,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1197,  834, 1197,  834;
$8, 2928, 3976, 3977,  276;
$9,  247,  593,  102,32201;
$1,  835, 1196, 2241,  531;
$2, 2057, 2005, 1967,  161;
$3,17185,50024,17185,50024;
$4,23423,61055,59648,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1202,  831, 1202,  831;
$8, 2927, 3977, 3976,  276;
$9,  258,  599,  102,32201;
$1,  834, 1195, 2226,  532;
$2, 2066, 2008, 1968,  161;
$3,17185,50024,17185,50024;
$4,21887,60287,59904,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1204,  834, 1204,  834;
$8, 2924, 3976, 3976,  276;
$9,  248,  596,  102,32201;
$1,  835, 1195, 2380,  402;
$2, 2060, 2005, 1966,  157;
$3,17185,50024,17185,50024;
$4,23423,60543,59648,  157;
$5,65535,    1,53188,    0;
$6, 2235, 2070, 2235, 2070;
$7, 1200,  833, 1200,  833;
$8, 2919, 3976, 3976,  276;
$9,  254,  587,  102,32201;
$1,  834, 1196, 2235,  534;
$2, 2055, 2004, 1963,  158;
$3,17185,50024,17185,50024;
$4,24447,60799,59392,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1203,  831, 1203,  831;
$8, 2919, 3977, 3977,  276;
$9,  257,  600,  102,32201;
$1,  835, 1195, 2223,  534;
$2, 2060, 2008, 1964,  159;
$3,17185,50024,17185,50024;
$4,22399,61311,58624,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1204,  831, 1204,  831;
$8, 2919, 3976, 3976,  276;
$9,  258,  591,  102,32201;
$1,  834, 1196, 2266,  527;
$2, 2067, 2008, 1970,  161;
$3,17185,50024,17185,50024;
$4,21119,59775,58624,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1194,  832, 1194,  832;
$8, 2931, 3977, 3977,  276;
$9,  258,  605,  102,32201;
$1,  834, 1196, 2244,  530;
$2, 2060, 2008, 1970,  159;
$3,17185,50024,17185,50024;
$4,22911,60799,58624,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1200,  833, 1200,  833;
$8, 2928, 3976, 3976,  275;
$9,  246,  601,  102,32201;
$1,  834, 1195, 2241,  532;
$2, 2057, 2006, 1972,  159;
$3,17185,50024,17185,50024;
$4,22399,59263,59648,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1202,  836, 1202,  836;
$8, 2934, 3976, 3976,  275;
$9,  258,  602,  102,32201;
$1,  835, 1194, 2233,  530;
$2, 2056, 2004, 1969,  157;
$3,17185,50024,17185,50024;
$4,23423,60031,63744,  157;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1197,  834, 1197,  834;
$8, 2926, 3976, 3976,  276;
$9,  252,  592,  102,32201;
$1,  835, 1195, 2298,  499;
$2, 2065, 2005, 1973,  159;
$3,17185,50024,17185,50024;
$4,23423,60543,60416,  159;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1200,  834, 1200,  834;
$8, 2928, 3977, 3977,  276;
$9,  248,  596,  102,32201;
$1,  835, 1195, 2248,  530;
$2, 2059, 2007, 1970,  160;
$3,17185,50024,17185,50024;
$4,23423,60287,58624,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1198,  834, 1198,  834;
$8, 2928, 3976, 3977,  276;
$9,  248,  590,  102,32201;
$1,  834, 1195, 2239,  532;
$2, 2059, 2008, 1974,  158;
$3,17185,50024,17185,50024;
$4,21375,60031,58624,  158;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1200,  832, 1200,  832;
$8, 2922, 3976, 3975,  275;
$9,  257,  589,  102,32201;
$1,  835, 1196, 2248,  528;
$2, 2056, 2008, 1975,  157;
$3,17185,50024,17185,50024;
$4,23167,60287,58624,  157;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1203,  826, 1203,  826;
$8, 2921, 3976, 3977,  276;
$9,  258,  596,  102,32201;
$1,  835, 1194, 2376,  403;
$2, 2057, 2008, 1972,  159;
$3,17185,50024,17185,50024;
$4,23423,60287,57600,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1193,  835, 1193,  835;
$8, 2919, 3977, 3976,  276;
$9,  258,  597,  102,32201;
$1,  835, 1194, 2213,  528;
$2, 2065, 2008, 1970,  160;
$3,17185,50024,17185,50024;
$4,21375,58239,58112,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1196,  833, 1196,  833;
$8, 2923, 3976, 3976,  275;
$9,  258,  601,  102,32201;
$1,  834, 1194, 2241,  528;
$2, 2062, 2004, 1970,  160;
$3,17185,50024,17185,50024;
$4,22399,59775,59392,  160;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1202,  833, 1202,  833;
$8, 2930, 3976, 3976,  276;
$9,  257,  601,  102,32201;
$1,  835, 1194, 2247,  525;
$2, 2059, 2008, 1977,  159;
$3,17185,50024,17185,50024;
$4,24191,60799,58624,  159;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1203,  833, 1203,  833;
$8, 2919, 3976, 3976,  276;
$9,  256,  590,  102,32201;
$1,  834, 1195, 2234,  532;
$2, 2057, 2008, 1975,  158;
$3,17185,50024,17185,50024;
$4,22399,60287,57856,  158;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1206,  831, 1206,  831;
$8, 2931, 3977, 3976,  275;
$9,  257,  599,  102,32201;
$1,  834, 1194, 2223,  531;
$2, 2056, 2008, 1977,  161;
$3,17185,50024,17185,50024;
$4,23423,60799,59136,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1200,  835, 1200,  835;
$8, 2919, 3976, 3976,  276;
$9,  258,  598,  102,32201;
$1,  835, 1194, 2231,  526;
$2, 2054, 2008, 1970,  158;
$3,17185,50024,17185,50024;
$4,23679,60799,62208,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1193,  832, 1193,  832;
$8, 2919, 3976, 3976,  276;
$9,  258,  598,  102,32201;
$1,  834, 1195, 2316,  494;
$2, 2061, 2008, 1973,  158;
$3,17185,50024,17185,50024;
$4,22911,60799,58880,  158;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1203,  832, 1203,  832;
$8, 2923, 3977, 3976,  276;
$9,  258,  594,  102,32201;
$1,  834, 1195, 2231,  528;
$2, 2060, 2008, 1973,  161;
$3,17185,50024,17185,50024;
$4,22399,60031,59392,  161;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1200,  834, 1200,  834;
$8, 2928, 3976, 3976,  275;
$9,  246,  586,  102,32201;
$1,  834, 1194, 2231,  528;
$2, 2048, 2005, 1963,  156;
$3,17185,50024,17185,50024;
$4,21887,60543,59136,  156;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1203,  834, 1203,  834;
$8, 2928, 3976, 3976,  276;
$9,  246,  597,  102,32201;
$1,  835, 1194, 2218,  530;
$2, 2051, 2003, 1958,  158;
$3,17185,50024,17185,50024;
$4,22399,60799,59136,  158;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1194,  833, 1194,  833;
$8, 2930, 3976, 3976,  276;
$9,  256,  597,  102,32201;
$1,  835, 1194, 2383,  405;
$2, 2062, 2008, 1967,  160;
$3,17185,50024,17185,50024;
$4,22143,60287,59392,  160;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1204,  831, 1204,  831;
$8, 2930, 3976, 3976,  276;
$9,  257,  595,  102,32201;
$1,  835, 1196, 2230,  530;
$2, 2061, 2008, 1969,  160;
$3,17185,50024,17185,50024;
$4,22399,61311,58880,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1193,  832, 1193,  832;
$8, 2923, 3977, 3976,  276;
$9,  257,  604,  102,32201;
$1,  835, 1195, 2229,  525;
$2, 2056, 2008, 1973,  160;
$3,17185,50024,17185,50024;
$4,22911,60543,59136,  160;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1200,  834, 1200,  834;
$8, 2928, 3976, 3976,  276;
$9,  247,  596,  102,32201;
$1,  834, 1194, 2261,  523;
$2, 2059, 2007, 1971,  158;
$3,17185,50024,17185,50024;
$4,22911,59263,58112,  158;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1196,  835, 1196,  835;
$8, 2925, 3976, 3976,  276;
$9,  249,  604,  102,32201;
$1,  835, 1195, 2238,  527;
$2, 2063, 2003, 1971,  158;
$3,17185,50024,17185,50024;
$4,22399,60799,59136,  158;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1202,  836, 1202,  836;
$8, 2932, 3976, 3976,  276;
$9,  248,  590,  102,32201;
$1,  834, 1195, 2234,  524;
$2, 2056, 2006, 1971,  161;
$3,17185,50024,17185,50024;
$4,23423,61055,58624,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1203,  832, 1203,  832;
$8, 2923, 3977, 3976,  276;
$9,  258,  602,  102,32201;
$1,  835, 1195, 2241,  528;
$2, 2061, 2003, 1964,  157;
$3,17185,50024,17185,50024;
$4,23167,59775,58112,  157;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1196,  833, 1196,  833;
$8, 2923, 3976, 3976,  276;
$9,  258,  604,  102,32201;
$1,  835, 1194, 2323,  492;
$2, 2062, 2004, 1971,  160;
$3,17185,50024,17185,50024;
$4,21375,58239,58880,  160;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1200,  833, 1200,  833;
$8, 2919, 3976, 3976,  275;
$9,  258,  595,  102,32201;
$1,  835, 1195, 2235,  525;
$2, 2061, 2008, 1974,  161;
$3,17185,50024,17185,50024;
$4,22399,59519,58880,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1204,  833, 1204,  833;
$8, 2919, 3977, 3977,  276;
$9,  257,  592,  102,32201;
$1,  834, 1194, 2251,  525;
$2, 2069, 2009, 1971,  158;
$3,17185,50024,17185,50024;
$4,23423,60543,58880,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1203,  835, 1203,  835;
$8, 2919, 3977, 3976,  275;
$9,  254,  601,  102,32201;
$1,  834, 1195, 2243,  525;
$2, 2051, 2001, 1965,  160;
$3,17185,50024,17185,50024;
$4,23935,61311,58880,  160;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1197,  834, 1197,  834;
$8, 2926, 3976, 3976,  276;
$9,  252,  602,  102,32201;
$1,  834, 1196, 2381,  402;
$2, 2060, 1999, 1971,  160;
$3,17185,50024,17185,50024;
$4,22911,60287,58624,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1201,  834, 1201,  834;
$8, 2918, 3976, 3976,  276;
$9,  257,  602,  102,32201;
$1,  835, 1194, 2221,  528;
$2, 2054, 2010, 1969,  159;
$3,17185,50024,17185,50024;
$4,22911,60799,58624,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1202,  834, 1202,  834;
$8, 2926, 3976, 3977,  276;
$9,  256,  597,  102,32201;
$1,  835, 1196, 2241,  523;
$2, 2058, 2008, 1973,  159;
$3,17185,50024,17185,50024;
$4,23167,60287,58112,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1196,  833, 1196,  833;
$8, 2922, 3977, 3976,  276;
$9,  250,  604,  102,32201;
$1,  835, 1196, 2257,  520;
$2, 2067, 2005, 1967,  161;
$3,17185,50024,17185,50024;
$4,23167,60287,59392,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1202,  831, 1202,  831;
$8, 2927, 3977, 3976,  276;
$9,  258,  593,  102,32201;
$1,  835, 1195, 2231,  524;
$2, 2058, 2008, 1966,  161;
$3,17185,50024,17185,50024;
$4,21375,60287,58624,  161;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1203,  835, 1203,  835;
$8, 2919, 3976, 3976,  275;
$9,  256,  597,  102,32201;
$1,  834, 1196, 2224,  526;
$2, 2061, 2008, 1969,  158;
$3,17185,50024,17185,50024;
$4,23423,60799,58880,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1196,  834, 1196,  834;
$8, 2928, 3977, 3976,  276;
$9,  246,  595,  102,32201;
$1,  834, 1196, 2217,  529;
$2, 2055, 2002, 1969,  161;
$3,17185,50024,17185,50024;
$4,21887,60031,57088,  161;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1200,  833, 1200,  833;
$8, 2919, 3976, 3976,  275;
$9,  258,  595,  102,32201;
$1,  834, 1194, 2330,  492;
$2, 2055, 2005, 1968,  160;
$3,17185,50024,17185,50024;
$4,23167,60287,58112,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1204,  832, 1204,  832;
$8, 2923, 3977, 3976,  276;
$9,  258,  595,  102,32201;
$1,  835, 1195, 2229,  526;
$2, 2064, 2007, 1968,  156;
$3,17185,50024,17185,50024;
$4,23679,61055,58112,  156;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1203,  829, 1203,  829;
$8, 2919, 3977, 3976,  276;
$9,  258,  593,  102,32201;
$1,  835, 1194, 2258,  527;
$2, 2060, 2006, 1967,  161;
$3,17185,50024,17185,50024;
$4,23423,59775,57344,  161;
$5,65535,    1,53188,    0;
$6, 2237, 2068, 2237, 2068;
$7, 1193,  833, 1193,  833;
$8, 2919, 3976, 3976,  276;
$9,  258,  598,  102,32201;
$1,  834, 1194, 2245,  524;
$2, 2060, 2000, 1962,  159;
$3,17185,50024,17185,50024;
$4,23167,59775,58624,  159;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1200,  834, 1200,  834;
$8, 2928, 3976, 3976,  275;
$9,  246,  594,  102,32201;
$1,  834, 1194, 2377,  407;
$2, 2053, 2005, 1968,  159;
$3,17185,50024,17185,50024;
$4,23423,60287,59904,  159;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1203,  833, 1203,  833;
$8, 2919, 3976, 3977,  276;
$9,  258,  600,  102,32201;
$1,  835, 1196, 2239,  526;
$2, 2061, 2008, 1968,  160;
$3,17185,50024,17185,50024;
$4,22911,60287,59648,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1193,  833, 1193,  833;
$8, 2919, 3977, 3977,  276;
$9,  258,  596,  102,32201;
$1,  835, 1195, 2227,  522;
$2, 2066, 2008, 1970,  161;
$3,17185,50024,17185,50024;
$4,21887,59775,57856,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1200,  837, 1200,  837;
$8, 2928, 3976, 3976,  275;
$9,  246,  592,  102,32201;
$1,  835, 1194, 2287,  522;
$2, 2057, 2005, 1969,  160;
$3,17185,50024,17185,50024;
$4,21375,60031,59136,  160;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1202,  829, 1202,  829;
$8, 2927, 3977, 3976,  275;
$9,  258,  598,  102,32201;
$1,  834, 1194, 2216,  526;
$2, 2057, 2005, 1971,  161;
$3,17185,50024,17185,50024;
$4,22143,60799,59392,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1198,  834, 1198,  834;
$8, 2928, 3977, 3976,  276;
$9,  247,  595,  102,32201;
$1,  834, 1195, 2237,  524;
$2, 2056, 2003, 1966,  159;
$3,17185,50024,17185,50024;
$4,22399,60031,60160,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1200,  832, 1200,  832;
$8, 2922, 3977, 3976,  276;
$9,  256,  598,  102,32201;
$1,  834, 1196, 2231,  522;
$2, 2056, 2002, 1966,  161;
$3,17185,50024,17185,50024;
$4,21375,60031,58112,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1192,  834, 1192,  834;
$8, 2924, 3975, 3976,  276;
$9,  247,  597,  102,32201;
$1,  835, 1195, 2311,  492;
$2, 2061, 2004, 1971,  161;
$3,17185,50024,17185,50024;
$4,22911,59775,58624,  161;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1203,  833, 1203,  833;
$8, 2923, 3977, 3977,  276;
$9,  257,  596,  102,32201;
$1,  834, 1195, 2230,  526;
$2, 2059, 2005, 1972,  158;
$3,17185,50024,17185,50024;
$4,23423,61055,59904,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1202,  835, 1202,  835;
$8, 2927, 3977, 3977,  276;
$9,  258,  598,  102,32201;
$1,  835, 1196, 2227,  526;
$2, 2057, 2008, 1968,  160;
$3,17185,50024,17185,50024;
$4,20863,59263,59136,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1203,  834, 1203,  834;
$8, 2924, 3977, 3976,  276;
$9,  248,  589,  102,32201;
$1,  834, 1194, 2248,  525;
$2, 2051, 2003, 1969,  157;
$3,17185,50024,17185,50024;
$4,23423,60287,60672,  157;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1195,  829, 1195,  829;
$8, 2919, 3976, 3976,  275;
$9,  258,  600,  102,32201;
$1,  835, 1194, 2314,  424;
$2, 2062, 2008, 1973,  161;
$3,17185,50024,17185,50024;
$4,24447,59775,58112,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1198,  834, 1198,  834;
$8, 2934, 3976, 3976,  276;
$9,  251,  595,  102,32201;
$1,  835, 1196, 2208,  524;
$2, 2059, 2008, 1967,  158;
$3,17185,50024,17185,50024;
$4,23423,60287,57856,  158;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1204,  835, 1204,  835;
$8, 2919, 3976, 3976,  276;
$9,  257,  599,  102,32201;
$1,  835, 1195, 2236,  527;
$2, 2058, 2008, 1971,  161;
$3,17185,50024,17185,50024;
$4,23167,60799,57344,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1203,  835, 1203,  835;
$8, 2919, 3976, 3976,  276;
$9,  258,  595,  102,32201;
$1,  834, 1194, 2250,  526;
$2, 2065, 2008, 1969,  160;
$3,17185,50024,17185,50024;
$4,24447,61311,59648,  160;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1205,  827, 1205,  827;
$8, 2919, 3976, 3975,  276;
$9,  258,  593,  102,32201;
$1,  834, 1195, 2241,  524;
$2, 2061, 2008, 1968,  158;
$3,17185,50024,17185,50024;
$4,22399,59007,57088,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1195,  835, 1195,  835;
$8, 2919, 3976, 3977,  275;
$9,  257,  598,  102,32201;
$1,  834, 1194, 2231,  522;
$2, 2060, 2010, 1972,  158;
$3,17185,50024,17185,50024;
$4,22399,58751,58368,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1203,  835, 1203,  835;
$8, 2925, 3976, 3977,  276;
$9,  256,  599,  102,32201;
$1,  835, 1195, 2217,  530;
$2, 2061, 2004, 1971,  158;
$3,17185,50024,17185,50024;
$4,22911,60287,59648,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1197,  835, 1197,  835;
$8, 2919, 3976, 3977,  276;
$9,  255,  603,  102,32201;
$1,  835, 1194, 2327,  494;
$2, 2060, 2006, 1968,  158;
$3,56196,50024,56196,50024;
$4,23423,59263,58624,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1202,  833, 1202,  833;
$8, 2930, 3976, 3976,  276;
$9,  256,  597,  102,32201;
$1,  834, 1196, 2234,  527;
$2, 2058, 2008, 1970,  162;
$3,56196,50024,56196,50024;
$4,21887,60031,59136,  162;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1200,  834, 1200,  834;
$8, 2923, 3976, 3976,  276;
$9,  258,  592,  102,32201;
$1,  834, 1194, 2247,  525;
$2, 2062, 2005, 1967,  159;
$3,56196,50024,56196,50024;
$4,23167,60799,57600,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1203,  834, 1203,  834;
$8, 2920, 3975, 3977,  276;
$9,  247,  599,  102,32201;
$1,  834, 1195, 2231,  528;
$2, 2060, 1999, 1969,  156;
$3,56196,50024,56196,50024;
$4,24959,61311,58624,  156;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1192,  833, 1192,  833;
$8, 2919, 3976, 3977,  276;
$9,  258,  600,  102,32201;
$1,  835, 1196, 2289,  430;
$2, 2057, 2008, 1975,  160;
$3,56196,50024,56196,50024;
$4,22399,60287,59136,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1197,  835, 1197,  835;
$8, 2919, 3976, 3976,  275;
$9,  256,  594,  102,32201;
$1,  835, 1194, 2239,  524;
$2, 2062, 2004, 1967,  161;
$3,56196,50024,56196,50024;
$4,22911,60287,57344,  161;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1203,  836, 1203,  836;
$8, 2928, 3976, 3976,  276;
$9,  247,  592,  102,32201;
$1,  835, 1195, 2228,  528;
$2, 2057, 2005, 1975,  158;
$3,56196,50024,56196,50024;
$4,22399,59519,60160,  158;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1203,  832, 1203,  832;
$8, 2928, 3976, 3976,  276;
$9,  248,  588,  102,32201;
$1,  834, 1195, 2252,  524;
$2, 2063, 2005, 1968,  161;
$3,56196,50024,56196,50024;
$4,22143,59263,59136,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1197,  835, 1197,  835;
$8, 2919, 3977, 3977,  276;
$9,  256,  604,  102,32201;
$1,  835, 1195, 2214,  528;
$2, 2063, 2009, 1978,  159;
$3,56196,50024,56196,50024;
$4,23167,60799,58880,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1203,  836, 1203,  836;
$8, 2924, 3976, 3977,  276;
$9,  248,  593,  102,32201;
$1,  834, 1194, 2212,  528;
$2, 2060, 2004, 1970,  156;
$3,56196,50024,56196,50024;
$4,22399,61055,58624,  156;
$5,65535,    1,53188,    0;
$6, 2235, 2070, 2235, 2070;
$7, 1200,  832, 1200,  832;
$8, 2920, 3976, 3977,  276;
$9,  248,  601,  102,32201;
$1,  835, 1194, 2231,  530;
$2, 2056, 2004, 1966,  155;
$3,56196,50024,56196,50024;
$4,22399,59263,57856,  155;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1193,  835, 1193,  835;
$8, 2919, 3976, 3976,  276;
$9,  258,  589,  102,32201;
